,review,sentiment
40002,"When you look at the cover and read stuff about it an entirely different type of movie comes to mind than what you get here. Then again maybe I read the summary for the other movie called ""Mausolem"" instead as there were two movies of this title released about the same time with both featuring plots that had key elements in common. However, reading stuff about that movie here I know I saw this one and not that one and that movie is even less what one would imagine a movie with that title would be about. I will be honest, I expect more of a zombie type picture and you get that in this movie to some degree. However, there is more stuff involving the occult and strange powers as the opening scene of the people being taken away by the coroner at the beginning of the film will attest to. The movie also has the old theme of kids going somewhere they do not belong to have some crazy party, in this case it is in fact a mausoleum. The other movie I do not think really has that key feature playing that prominent role in the movie and I see the score for this one is higher too, still it was just not the movie I was expecting.",negative
40018,"This movie is stuffed full of stock Horror movie goodies: chained lunatics, pre-meditated murder, a mad (vaguely lesbian) female scientist with an even madder father who wears a mask because of his horrible disfigurement, poisoning, spooky castles, werewolves (male and female), adultery, slain lovers, Tibetan mystics, the half-man/half-plant victim of some unnamed experiment, grave robbing, mind control, walled up bodies, a car crash on a lonely road, electrocution, knights in armour - the lot, all topped off with an incredibly awful score and some of the worst Foley work ever done.<br /><br />The script is incomprehensible (even by badly dubbed Spanish Horror movie standards) and some of the editing is just bizarre. In one scene where the lead female evil scientist goes to visit our heroine in her bedroom for one of the badly dubbed: ""That is fantastical. I do not understand. Explain to me again how this is..."" exposition scenes that litter this movie, there is a sudden hand held cutaway of the girl's thighs as she gets out of bed for no apparent reason at all other than to cover a cut in the bad scientist's ""Mwahaha! All your werewolfs belong mine!"" speech. Though why they went to the bother I don't know because there are plenty of other jarring jump cuts all over the place - even allowing for the atrocious pan and scan of the print I saw.<br /><br />The Director was, according to one interview with the star, drunk for most of the shoot and the film looks like it. It is an incoherent mess. It's made even more incoherent by the inclusion of werewolf rampage footage from a different film The Mark of the Wolf Man (made 4 years earlier, featuring the same actor but playing the part with more aggression and with a different shirt and make up - IS there a word in Spanish for ""Continuity""?) and more padding of another actor in the wolfman get-up ambling about in long shot.<br /><br />The music is incredibly bad varying almost at random from full orchestral creepy house music, to bosannova, to the longest piano and gong duet ever recorded. (Thinking about it, it might not have been a duet. It might have been a solo. The piano part was so simple it could have been picked out with one hand while the player whacked away at the gong with the other.) <br /><br />This is one of the most bewilderedly trance-state inducing bad movies of the year so far for me. Enjoy.<br /><br />Favourite line: ""Ilona! This madness and perversity will turn against you!"" How true.<br /><br />Favourite shot: The lover, discovering his girlfriend slain, dropping the candle in a cartoon-like demonstration of surprise. Rank amateur directing there.",positive
40023,"Let me begin by saying that there is no bigger fan of the original ""Lonesome Dove"" than I. Both the Pulitzer Prize-winning book and the towering mini-series adapted from it stand alone in my experience as moving, dramatic, believable, and engrossing works. There is no comparison between ""Lonesome Dove"" and any Western film- at least not since the legendary collaborations of John Ford and John Wayne. It was with real reservations that I sat down to watch this new mini-series, what with McMurtry's non-participation, and the missing original cast members. After watching the first episode it was clear that this is no ""Lonesome Dove"". In almost every measurable way this sequel falls short of the original. But so what? I wasn't expecting it to measure up. Taken as an effort of it's own this film is engaging, entertaining and of a very good quality. If it were done as a new story, not as a sequel to ""Lonesome Dove"", there is no question in my mind that it would not have received as many negative ratings. Jon Voight did a creditable job as Call, Barbara Hershey was a terrific Clara, and the new characters like Gideon Walker and Agostina Vega were well rendered and believable. Louis Gossett jr. deserves special mention as the horse wrangler Isom Pickett. The film made me care about the characters, and I don't ask any more than that from an actor. it is unfortunate that this worthy effort stands in the shadow of it's predecessor- it is worth viewing in it's own right.",positive
40024,"I wasn't really interested in seeing Step Up, but my friend just kept bugging and bugging me to see this film, especially since she is so in love with Channing Tatum, I tease her constantly about it saying how that's the only reason why she loved the movie. But she somehow convinced me that it was a movie worth seeing, that if I loved movies like Dirty Dancing, Take the Lead, and Save the Last Dance, that I should love Step Up, eh, what the heck? I guess every movie in some way has it's right to a view.<br /><br />Well, you know those movies I just mentioned up top? Dirty Dancing, Take the Lead, and Save the Last Dance? Well, put them in a blender with some gangsta love in it and that's what you have. Not to mention if you've seen those movies, well, frankly, you have seen Step Up. Because Channing is lower class with street smarts who just naturally feels the music while that snobby up class girl must follow step by step, how will they ever fall in love if they are so different? After all, this is their chance to ""step up"" to the passion, the mystery, and the lust of the dance! <br /><br />OK, that was a silly plot explanation, but like I said, as long as you've seen those movies I mentioned, or even if you just saw the plot, you get the movie. I don't understand how it actually has a 5.5 rating, I bet it's those Channing lovers! LOL! I'm kidding with you guys, but it's all good, I guess I just didn't get what others did with the passion, the mystery that is the dance! Oh, Antonio Bandares, where are you when we need you?! <br /><br />4/10",negative
40039,"This must rank as one of Cinema's greatest debacles. I was wandering Europe at the time and had the misfortune to stumble upon the crew making this movie in what was, even then, one of the world's idyllic, unspoiled settings. I was enlisted as an extra, and what followed was an exhibition of modern day debauchery. Forget all the accusations you've ever heard of Peter Mayall's intrusions on this rare piece of French life- Geoff Reeve and his cohorts embarked on a level of revelry at the restaurant at Les Beaux that left the Maitre'd slack-jawed in disbelief. They were, quite simply, awful, uncultured and undeserving of French hospitality.",negative
40052,"As much as I love Ellen Barkin (who is really underrated) I have to boo this movie. If you can't tell who did it AND why in the first half hour you obviously have never seen a psycho-sexual thriller or have never watched 20/20. It's like the filmmakers and actors didn't care that they way they were shooting it and they way they were playing the characters would be a dead giveaway.<br /><br />Overall, this movie serves to turn-on the dirty perverts who like to mix violence and sex. Not a fun movie to sit through, although if you like Ellen Barkin it's nice to see her place a tough lady.",negative
40088,The good thing about this film is that it stands alone - you don't have to have seen the original. Unfortunately this is also it's biggest drawback. It would have been nice to have included a few of the original characters in the new story and seen how their lives had developed. Sinclair as in the original is excellent and provides the films best comic moments as he attempts to deal with awkward and embarrassing situations but the supporting cast is not as strong as in the original movie. Forsyth is to be congratulated on a brave attempt to move the character on and create an original sequel but the film is ultimately flawed and lacks the warmth of the original,positive
40089,"Cutting to the chase: This is one of the most amazing, most intense film I've seen in a long time. The first movie in years that left me absolutely staggered. I could barely feel my way out of the theatre, I was so overwhelmed.<br /><br />I've been staring at the screen for about fifteen minutes trying to find some way to describe the power of this film, and just failing. Highlighting any one aspect of it -- the documentary-style video diary format, the unflinching portrayal of the events, the force of the characters -- just seems to trivialise it all. Some may find it laughable that any killer could be characterised as normal. But then not all killers are raving lunatics foaming at the mouth. Many are quite regular, unassuming people. They're just wired differently.<br /><br />And that's perhaps the most chilling thought of all.",positive
40099,"This film suffers horrendously from its direction ""Julian Grant"" , and its incompetent lead, Steve Guttenberg, who's putting a solid effort to win a Bruce Willis look-alike contest! The writing is reckless Hollywood action thriller; Sean Bean --whose one of my favorites-- David Fraser, and Kim Coates give a decent performance. The film is definitely below average. 3 out of 10! I wonder what Hollywood studios thought, actually giving the go ahead, to weak director such as Grant. And I'd say to Sean Bean ""what were you thinking even considering participating in a film like this, after such great films like GoldenEye, Ronin, and Patriot Games!",negative
40114,"I thought that this film was very enjoyable. I watched this film with my wife BEFORE I had my first child. Therefore, I was not watching it as simply family entertainment and I still thoroughly enjoyed it. It seems as though many of the reviews are pointing out that this movie is not earth shattering, there were no unexpected plot changes and that the movie was predictable and boring. If these people were watching this movie expecting to have a religious experience doing so, then they were obviously going to be disappointed. This is simply an animated movie; nothing more. If you want to see this movie simply to sit back and let yourself be entertained, you will not be disappointed. In closing, this is definitely not the best movie Disney has made, but it IS entertaining and I do not understand the bad reputation it has received.",positive
